waste_type,ash_content,VM,FC,carbon_content,H,O,N,S,Cel,Hem,Lig,HHV,Source
barley straw,10.5,84.3,5.2,37.05,5.55,46.33,0.56,0.01,32.5,25.7,23,15.7,"(TNO, 2020)"
corn cob,1,65.14,28.3,48.8,5.38,44.42,0.4,2.14,52,32,15,17,"(TNO, 2020)"
Corncob,3.48,75.85,16.98,49.96,6.42,44.49,1.63,0.13,26.3,25.2,16.3,19.95,"(TNO, 2020)"
Corn Stover,3.7,84.3,6.89,49.5,5.4,41.8,0.6,0,51.2,30.7,14.4,19.6,"(TNO, 2020)"
"corn stover, densified (no binder)",21.57,63.9,14.53,37.8,4.84,35.05,0.65,0.09,32.6,23.6,13.6,14.49,"(Evans et al., 1988)"
"flax straw, Canada",3.26,87.2,9.54,41.69,6,48.3,0.66,0.09,28.7,26.8,22.5,17,"(TNO, 2020)"
Rice straw,18.67,65.47,15.86,38.24,5.2,36.26,0.87,0.18,28.1,26.5,12.5,15.09,"(TNO, 2020)"
"rice straw, dried in air",9.55,88.8,1.65,39.12,5.08,44.14,1.91,0.2,37.8,25.3,23.3,14.42,"(TNO, 2020)"
wheat straw,13.5,87.2,9.54,45.5,5.1,34.1,1.8,0,28.8,39.1,18.6,17,"(TNO, 2020)"
"wheat straw, Canada",1.38,83.3,15.32,41.03,6.02,51.38,0.14,0.06,34.6,29.3,21.3,20.3,"(TNO, 2020)"
Banana stalk,19,76,5,33,4.3,60.5,1.9,0.3,47,28,20,15.6,"(TNO, 2020)"
banana stalk Hydro char H1,10.1,73,16.9,44.7,4.2,48.9,0.3,1.9,40.9,25.7,19.1,18.1,"(Islam et al., 2019)"
banana stalk Hydro char H2,8,71,21,45.5,4.8,47.5,0.3,2,44.5,22.5,19.2,18.4,"(Islam et al., 2019)"
banana stalk Hydro char H3,7.1,71.8,21.1,46.5,4.2,47,0.3,2,38.1,19.2,17.3,18.4,"(Islam et al., 2019)"
banana stalk Hydro char H4,8.7,68.8,22.5,48.5,4.7,44.6,0.2,2,38.2,19.1,17.2,18.5,"(Islam et al., 2019)"
banana stalk Hydro char H5,7.1,68,24.9,48.5,4.9,44.2,0.2,2.2,34,16.5,17.7,18.6,"(Islam et al., 2019)"
banana stalk Hydro char H6,7.2,65.4,27.5,47.3,4.8,45.2,0.2,2.4,35,15.3,16.8,18.7,"(Islam et al., 2019)"
banana stalk Hydro char H7,7.2,57.8,35,46.5,4.7,46.2,0.3,2.3,33.2,13.6,15.6,18.8,"(Islam et al., 2019)"
banana stalk Hydro char H8,6.7,58.1,35.3,44.5,4.2,48.3,0.3,2.6,32.3,11.8,13.8,18.8,"(Islam et al., 2019)"
banana stalk Hydro char H9,6.8,48.9,44.3,42.7,4.9,49.4,0.2,2.8,27,8.2,12.4,18.9,"(Islam et al., 2019)"
Cassava stalk,6.01,79.9,14.09,51.12,6.87,41.34,0.67,0.1,35.71,41.75,22.54,19.49,"(Pattiya, 2011)"
Cassava rhizome,8.49,77.75,18.2,51.59,6.69,40.49,1.27,0.1,31.19,44.47,24.34,19.93,"(Pattiya, 2011)"
Peachpit,1.81,83.07,15.12,47.64,5.89,44.06,0.2,2.14,30.8,22.22,27.46,18.28,"(Saffe et al., 2019)"
Marc,6.4,76.75,16.85,45.4,5.66,41.58,0.67,0.1,15.2,4.92,38.25,17.87,"(Saffe et al., 2019)"
Stalk,9.72,69.45,20.83,44.25,5.49,39.43,1.27,0.1,16.14,6.18,28.11,18.12,"(Saffe et al., 2019)"
Sawdust,2.92,84.08,13,46.65,5.84,43.79,0.6,0.2,42.4,19.52,22.75,17.68,"(Saffe et al., 2019)"
Banana Peels,9.28,88.02,2.7,35.65,6.19,45.94,1.94,0.13,9.9,41.38,8.9,16.15,"(Kabenge et al., 2018)"
Banana Leaves,9.05,83.35,7.6,38.57,6.44,43.49,2.14,0.53,35.58,23.46,10.58,17.57,"(Kabenge et al., 2018)"
Banana Pseudo stem,9.36,89.43,1.21,33.46,6.44,49.94,0.8,0.19,38.48,25.36,5.77,15.04,"(Kabenge et al., 2018)"
Bamboo,1.71,76.61,21.68,51.11,6.22,42.52,0.09,0.06,47.01,14.11,22.12,15.47,"(Nam et al., 2020)"
Cassava pulp,1.12,85.12,13.76,45.53,7.11,47.29,0.03,0.04,13.99,21.11,2.35,17.51,"(Nam et al., 2020)"
Cornstalk,7.11,74.31,18.58,45.05,6.27,48.56,0.01,0.11,27.01,23.11,3.55,15.02,"(Nam et al., 2020)"
Corn cob,1.92,80.01,18.07,43.61,6.55,49.74,0.01,0.09,34.12,37.33,6.14,16.67,"(Nam et al., 2020)"
Rice husk,16.21,66.17,17.62,48.89,6.22,44.72,0.09,0.08,47.88,9.99,19.11,13.68,"(Nam et al., 2020)"
Rice straw,13.51,71.02,15.47,47.56,6.55,45.72,0.01,0.16,41.91,22.99,4.98,14.27,"(Nam et al., 2020)"
Sugarcane bagasse,7.91,74.98,17.11,49.3,6.55,43.88,0.02,0.25,40.15,30.11,22.89,15.76,"(Nam et al., 2020)"
Rubber wood,1.91,80.21,17.88,51.44,6.32,41.99,0.17,0.08,49.53,12.12,20.17,16.77,"(Nam et al., 2020)"
Coir fiber,3.45,68.12,28.43,53.11,6.22,40.55,0.01,0.11,42.11,0.99,33.44,13.91,"(Nam et al., 2020)"
Sawdust,3.81,77.65,18.54,51.11,6.13,42.52,0.19,0.05,40.11,11.56,24.15,15.93,"(Nam et al., 2020)"
