waste_type,ash_content,VM,FC,carbon_content,H,O,N,S,Cel,Hem,Lig,HHV,Source
Bamboo wood,5.52,80.4,13.04,45.11,5.91,48.51,0.28,0.19,40.96,25.83,21.96,19.8,"(Onokwai et al., 2022)"
Obeche wood,2.51,88.04,9.08,47.69,5.7,46,0.57,0.04,44.14,26.86,24.78,20.1,"(Onokwai et al., 2022)"
Shea butter wood,0.9,82.92,15.89,50,6,43.79,0.2,0.01,45.8,30.43,28.42,21.8,"(Onokwai et al., 2022)"
Corncob,3.5,79.87,16.19,47.9,6.1,45.3,0.51,0.19,41.62,34.01,17.45,18.11,"(Onokwai et al., 2022)"
Palm kernel shell,3.2,73.7,22.8,48.9,5.38,45.03,0.22,0.02,28.34,25.34,49.63,19.98,"(Onokwai et al., 2022)"
Sugarcane bagasse,1.3,83.82,14.88,47.31,6.15,45.99,0.45,0.1,43.99,29.49,27.8,18.6,"(Onokwai et al., 2022)"
Lemon grass,9.88,66.87,23.95,41.12,5.29,51.68,1.75,0.06,40.14,25.78,20.65,17.23,"(Onokwai et al., 2022)"
Rice Husk (RH),9.57,62.83,27.6,45.87,5.87,38,0.56,0.14,28.5,26,43.34,18.78,"(Nakason et al., 2019)"
Coconut Husk (CH),6.7,61.78,31.52,49.03,5.37,38.36,0.41,0.13,25.49,31.52,31.52,19.33,"(Nakason et al., 2019)"
Cassava Rhizome (CR),4.95,71.92,23.13,45.14,5.82,43.12,0.84,0.13,25.68,23.13,50.53,18.04,"(Nakason et al., 2019)"
Corncob (CC),2.01,76.04,21.95,46.74,6.04,44.23,0.84,0.15,26.27,25.26,37.27,18.8,"(Nakason et al., 2019)"
Pine wood,0.3,82,17.7,49.64,6.09,0.78,0.08,0.01,44.4,28.9,27.5,19.32,"(Nakason et al., 2019)"
Oak wood,6,79,15,49.75,6.25,0.95,0.11,0.01,43,23,28,18.65,"(Nakason et al., 2019)"
Wheat straw,9,75,15,43.9,5.84,0.83,0.14,0.01,33.8,38.7,15.4,16.5,"(Nakason et al., 2019)"
Corn stalks,8,76,16,44.2,5.7,0.88,0.12,0.01,32.3,36.5,18,17.23,"(Nakason et al., 2019)"
Miscanthus,5,75,20,48.5,5.8,0.84,0.06,0.01,40,34,17,18.7,"(Nakason et al., 2019)"
Switchgrass,4,73,23,44.15,5.2,0.88,0.08,0.01,34.5,33,22.5,18,"(Nakason et al., 2019)"
Bagasse,2,74,24,45,5.5,0.8,0.05,0.01,39,24,22,17.5,"(Nakason et al., 2019)"
Rice husk,14,72,14,40,5.6,0.79,0.08,0.01,27,29,21,15.9,"(Nakason et al., 2019)"
Raw Yard Waste (YWR),8.3,84.75,6.98,44.2,6.24,48.21,0.84,0.02,38.8,45.3,22.5,15.43,"(Sharma & Dubey, 2020)"
Raw Food Waste (FWR),5.39,76.62,15.75,35.16,4.9,56.8,1.01,0.02,39,24,22,9.48,"(Sharma & Dubey, 2020)"
Mixed Yard and Food Waste (YWR + FWR),7.05,78.71,14.33,42.41,5.78,50.8,0.99,0.02,27,29,21,13.54,"(Sharma & Dubey, 2020)"
Yard Waste Hydrochar (YWH),4.34,55.54,40.64,65.2,5.83,28.05,0.88,0.05,45.3,3.3,28.8,24.37,"(Sharma & Dubey, 2020)"
Food Waste Hydrochar (FWH),4.14,62.87,32.68,59,5.43,34,1.56,0.44,31.66,23.77,18.85,21.64,"(Sharma & Dubey, 2020)"
Mixed Hydrochar (YWH + FWH),4.32,57.4,37.56,68.26,6.02,24.4,1,0.09,33.57,23.37,20.9,27.64,"(Sharma & Dubey, 2020)"
Jackfruit Peelings (Soft),4.66,76.82,18.52,43.89,5.43,0.41,1.55,28.37,4.03,17.71,3.08,17.42,"(Nsubuga et al., 2021)"
Jackfruit Peelings (Firm),2.9,78.37,18.72,44.04,6.26,0.51,1.42,43.97,7.32,6.81,1.91,19.03,"(Nsubuga et al., 2021)"
Jackfruit Seeds (Soft),1.86,78.85,19.31,44.9,6.13,0.11,1.57,45.04,9.06,1.79,5.35,19.14,"(Nsubuga et al., 2021)"
Jackfruit Seeds (Firm),1.89,77.82,20.13,48.08,7.13,0.29,1.5,41.06,10.66,1.79,5.35,19.81,"(Nsubuga et al., 2021)"
Sugar Cane Bagasse (SCB),13.27,75.78,10.9,41.39,4.99,40.86,0.32,0.11,65.95,18.16,39.94,15.11,"(Marrugo et al., 2016)"
Rice Husk (RH),20.7,59.95,19.2,33.87,4.57,41.28,0.84,0.12,53.8,33.24,48.66,14.09,"(Marrugo et al., 2016)"
Palm Kernel Shell (PKS),2.89,75.02,22.13,46.05,5.14,45.4,0.62,0.14,16.31,30.13,64.97,18.96,"(Marrugo et al., 2016)"
Agricultural Biomass,5.79,75.13,14.6,47.61,5.52,39.87,1.27,0.26,44.7,23.21,15.08,18.23,"(Brandić et al., 2024)"
Wood Biomass,5.59,74.36,20.1,48.13,5.37,42.75,0.7,0.33,44.04,27.25,27.64,18.98,"(Brandić et al., 2024)"
Kitchen Food Waste,10.87,78.19,10.87,45,6.55,41,3,0.35,55.4,7.2,11.4,16.22,"(Abdulyekeen et al., 2021)"
Paper,6.21,81.91,10.86,41,6.11,47,0.18,0.12,35,8.4,16.9,16.12,"(Abdulyekeen et al., 2021)"
"Food Waste, Paper, and Wood Waste Mixture",7.55,80.55,11.9,46.05,5.7,0.7,0.97,51.1,20.94,14.46,6.04,17.12,"(Putra et al., 2021)"
Canola stalks,5.63,75.48,18.89,45.8,5.6,41.51,0.47,0.01,44.1,15.8,40.1,18.51,"(Sarker et al., 2021)"
Wheat straw,4.6,80,15.4,43.7,5.6,39.3,0.5,0.01,39,24.3,36.7,18.36,"(Zhang et al., 2016)"
Pine needles,2.54,84.24,13.22,49.9,6.3,31.4,0.17,0.01,33,19.1,34.8,19.98,"(Wei et al., 2016)"
Rice Husk,13.3,76.7,10,37.8,4,38.4,0.5,0.06,39.8,26.6,9.9,16.7,"(Sarker et al., 2021)"
Corn Stover,6.1,81.1,12.8,44.1,5.6,43.5,0.6,0.03,40.1,30,16.9,17.9,"(Sarker et al., 2021)"
Sugarcane Bagasse,2.6,81.3,16.1,44.7,6.1,49,0.1,0.05,40.6,30.9,18.5,18.5,"(Sarker et al., 2021)"
Wood (Spruce),0.4,80.6,19,48.5,6.4,45,0.1,0.01,45.8,29.5,19.5,19.6,"(Sarker et al., 2021)"
Wood (Pine),0.6,78.5,20.9,47.6,6.2,44.2,0.1,0.02,44.6,29.4,26,19.8,"(Sarker et al., 2021)"
Miscanthus,3,83,14,46.3,5.7,45,0.3,0.02,38,36,22,17.8,"(Sarker et al., 2021)"
Switchgrass,5.3,77.7,17,43.9,5.6,46.4,0.4,0.01,38,32,22,18,"(Sarker et al., 2021)"
Barley Straw,5,79,16,42.5,6.5,48,0.4,0.03,35,31,21,16.8,"(Sarker et al., 2021)"
Coconut Shell,6.8,74.6,18.6,47.5,5.9,42.8,0.3,0.08,40,25,28,21.2,"(Sarker et al., 2021)"
Soybean Stalk,6,77.3,16.7,42,5.3,46.7,0.6,0.02,38.5,31.5,20,17.5,"(Sarker et al., 2021)"
Cassava rhizome,4.95,71.92,23.13,45.14,5.82,43.12,0.84,0.13,44.41,25.18,25.26,18.04,"(Sarker et al., 2021)"
Banana Peel,5.56,94.55,0.078,44.6,6.81,57.87,1.44,0.109,12.17,10.19,2.88,20.3,"(Adeniyi et al., 2019)"
Orange Peel,5.7,94.14,0.152,42.26,6.72,58.23,1.25,0.12,9.21,10.5,0.84,17.5,"(Adeniyi et al., 2019)"
Sweet Lime Peel,4.67,93.63,1.69,41.66,6.71,59.04,0.69,0.108,20.8,17.2,8.9,18.04,"(Adeniyi et al., 2019)"
Lemon Peel,5.75,92.83,1.43,42.95,6.35,55.63,1.35,0.202,23.1,8.09,7.6,17.77,"(Adeniyi et al., 2019)"
Jackfruit Peel,6.76,92.26,1.02,42.83,6.27,56.76,0.96,0.128,24,11.8,7,17.73,"(Adeniyi et al., 2019)"
Palm Trunk,3.86,78.53,17.61,44.46,5.75,44.41,0.55,4.83,29.47,22.69,22.69,18.1,"(Nasser et al., 2016)"
Palm Frond Base,9.81,76.56,13.63,40.48,5.63,51.36,0.28,2.25,32.33,23.54,19.23,15.47,"(Nasser et al., 2016)"
Palm Frond Midrib,3.56,82.28,14.15,45.65,5.95,48.13,0.27,0.00†,37.28,23.25,22.02,17.57,"(Nasser et al., 2016)"
Palm Leaflets,15.2,74.29,10.51,46.5,5.69,37.99,0.66,9.16,31.65,10.83,24.66,19.6,"(Nasser et al., 2016)"
Palm Fruit Stalk,1.8,85.32,12.88,44.47,5.97,46.08,0.32,3.16,38.85,24.8,26.6,18.07,"(Nasser et al., 2016)"
Fruit Empty Bunch,1.78,87.48,10.75,45.58,6.03,43.32,0.26,4.81,38.44,21.04,27.1,18.98,"(Nasser et al., 2016)"
Date Palm Stone,1.4,83.33,14.94,47.14,6.63,43.8,0.9,1.53,22.43,20.67,25.35,19.85,"(Nasser et al., 2016)"
Cassava husks,4.81,76.96,17.9,38.34,6.13,38.55,2.08,0.00†,31.7,49.1,16.2,15.39,"(Cruz et al., 2021)"
Cassava leaves,10.75,70.94,17.87,43.25,6.1,26.76,5.24,0.00†,31.7,49.1,16.2,18.86,"(Cruz et al., 2021)"
